csat_id,date,work_type,team_id,customer_segment,csat_score,feedback_theme
CSAT_000001,2026-03-21,audio_evaluation,TEAM_APAC_AUDIO_02,strategic,4.2,calibration
CSAT_000002,2026-04-04,audio_evaluation,TEAM_APAC_AUDIO_03,enterprise,4.4,timeliness
CSAT_000003,2026-04-11,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.1,timeliness
CSAT_000004,2026-04-24,code_review,TEAM_APAC_CODE_02,mid_market,4.6,handoff_quality
CSAT_000005,2026-06-08,image_annotation,TEAM_APAC_IMAGE_03,strategic,4.7,handoff_quality
CSAT_000006,2026-05-15,audio_evaluation,TEAM_APAC_AUDIO_02,startup,3.8,communication
CSAT_000007,2026-06-13,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.3,handoff_quality
CSAT_000008,2026-03-27,image_annotation,TEAM_APAC_IMAGE_04,mid_market,4.9,responsiveness
CSAT_000009,2026-05-03,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,4.2,tooling
CSAT_000010,2026-04-10,code_review,TEAM_APAC_CODE_02,mid_market,4.1,timeliness
CSAT_000011,2026-04-26,image_annotation,TEAM_APAC_IMAGE_04,mid_market,4.6,accuracy
CSAT_000012,2026-03-22,audio_evaluation,TEAM_APAC_AUDIO_02,strategic,4.0,accuracy
CSAT_000013,2026-05-30,rlhf_evaluation,TEAM_APAC_RLHF_01,startup,4.6,handoff_quality
CSAT_000014,2026-04-13,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.3,handoff_quality
CSAT_000015,2026-03-26,code_review,TEAM_APAC_CODE_02,mid_market,4.5,responsiveness
CSAT_000016,2026-05-30,audio_evaluation,TEAM_APAC_AUDIO_03,mid_market,4.4,timeliness
CSAT_000017,2026-04-19,audio_evaluation,TEAM_APAC_AUDIO_03,strategic,4.5,handoff_quality
CSAT_000018,2026-05-06,expert_review,TEAM_APAC_EXPERT_01,enterprise,3.9,calibration
CSAT_000019,2026-05-20,code_review,TEAM_APAC_CODE_01,strategic,4.6,accuracy
CSAT_000020,2026-04-10,image_annotation,TEAM_APAC_IMAGE_03,mid_market,4.1,accuracy
CSAT_000021,2026-05-23,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.5,accuracy
CSAT_000022,2026-06-05,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,3.7,timeliness
CSAT_000023,2026-04-12,image_annotation,TEAM_APAC_IMAGE_01,strategic,4.9,timeliness
CSAT_000024,2026-03-21,expert_review,TEAM_APAC_EXPERT_01,mid_market,4.2,responsiveness
CSAT_000025,2026-05-01,expert_review,TEAM_APAC_EXPERT_02,strategic,4.3,responsiveness
CSAT_000026,2026-05-26,image_annotation,TEAM_APAC_IMAGE_02,mid_market,4.7,responsiveness
CSAT_000027,2026-05-29,code_review,TEAM_APAC_CODE_02,startup,4.2,tooling
CSAT_000028,2026-05-23,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.0,accuracy
CSAT_000029,2026-04-26,image_annotation,TEAM_APAC_IMAGE_04,enterprise,4.0,calibration
CSAT_000030,2026-05-24,rlhf_evaluation,TEAM_APAC_RLHF_02,enterprise,4.2,accuracy
CSAT_000031,2026-05-20,code_review,TEAM_APAC_CODE_01,startup,4.3,communication
CSAT_000032,2026-04-02,audio_evaluation,TEAM_APAC_AUDIO_03,startup,4.3,calibration
CSAT_000033,2026-03-26,expert_review,TEAM_APAC_EXPERT_01,mid_market,4.1,communication
CSAT_000034,2026-04-20,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.4,timeliness
CSAT_000035,2026-05-13,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.5,tooling
CSAT_000036,2026-05-24,image_annotation,TEAM_APAC_IMAGE_04,enterprise,4.4,responsiveness
CSAT_000037,2026-03-20,rlhf_evaluation,TEAM_APAC_RLHF_03,strategic,4.3,timeliness
CSAT_000038,2026-04-26,image_annotation,TEAM_APAC_IMAGE_01,enterprise,4.9,responsiveness
CSAT_000039,2026-03-24,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.6,responsiveness
CSAT_000040,2026-04-11,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.8,timeliness
CSAT_000041,2026-05-28,image_annotation,TEAM_APAC_IMAGE_04,startup,4.5,handoff_quality
CSAT_000042,2026-05-11,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.2,accuracy
CSAT_000043,2026-04-03,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.1,timeliness
CSAT_000044,2026-04-30,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.1,communication
CSAT_000045,2026-06-02,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.5,communication
CSAT_000046,2026-05-17,audio_evaluation,TEAM_APAC_AUDIO_03,strategic,4.3,communication
CSAT_000047,2026-03-30,audio_evaluation,TEAM_APAC_AUDIO_02,startup,4.4,timeliness
CSAT_000048,2026-05-23,audio_evaluation,TEAM_APAC_AUDIO_01,strategic,4.7,tooling
CSAT_000049,2026-05-13,image_annotation,TEAM_APAC_IMAGE_02,startup,4.8,communication
CSAT_000050,2026-04-14,code_review,TEAM_APAC_CODE_03,strategic,4.0,timeliness
CSAT_000051,2026-03-26,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.2,accuracy
CSAT_000052,2026-03-24,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.2,responsiveness
CSAT_000053,2026-05-21,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.6,tooling
CSAT_000054,2026-05-07,rlhf_evaluation,TEAM_APAC_RLHF_03,strategic,4.5,handoff_quality
CSAT_000055,2026-05-29,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.1,accuracy
CSAT_000056,2026-06-11,code_review,TEAM_APAC_CODE_02,strategic,3.9,calibration
CSAT_000057,2026-05-24,audio_evaluation,TEAM_APAC_AUDIO_03,enterprise,4.1,timeliness
CSAT_000058,2026-06-11,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.4,tooling
CSAT_000059,2026-05-25,image_annotation,TEAM_APAC_IMAGE_01,mid_market,4.4,calibration
CSAT_000060,2026-05-25,expert_review,TEAM_APAC_EXPERT_01,mid_market,4.4,calibration
CSAT_000061,2026-06-03,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.2,timeliness
CSAT_000062,2026-03-25,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.6,communication
CSAT_000063,2026-05-26,image_annotation,TEAM_APAC_IMAGE_04,mid_market,4.5,timeliness
CSAT_000064,2026-04-06,code_review,TEAM_APAC_CODE_01,strategic,4.3,tooling
CSAT_000065,2026-06-12,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.2,handoff_quality
CSAT_000066,2026-04-25,image_annotation,TEAM_APAC_IMAGE_04,enterprise,4.2,communication
CSAT_000067,2026-04-20,image_annotation,TEAM_APAC_IMAGE_03,strategic,4.4,calibration
CSAT_000068,2026-04-02,image_annotation,TEAM_APAC_IMAGE_04,enterprise,5.0,timeliness
CSAT_000069,2026-05-17,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.1,calibration
CSAT_000070,2026-05-20,image_annotation,TEAM_APAC_IMAGE_01,startup,4.4,communication
CSAT_000071,2026-03-20,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.5,calibration
CSAT_000072,2026-03-29,audio_evaluation,TEAM_APAC_AUDIO_03,mid_market,4.3,handoff_quality
CSAT_000073,2026-06-01,image_annotation,TEAM_APAC_IMAGE_01,enterprise,4.6,tooling
CSAT_000074,2026-05-13,image_annotation,TEAM_APAC_IMAGE_04,enterprise,4.7,handoff_quality
CSAT_000075,2026-03-27,code_review,TEAM_APAC_CODE_02,mid_market,4.1,communication
CSAT_000076,2026-05-10,code_review,TEAM_APAC_CODE_01,mid_market,3.9,communication
CSAT_000077,2026-05-31,image_annotation,TEAM_APAC_IMAGE_04,strategic,4.6,accuracy
CSAT_000078,2026-06-12,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.5,tooling
CSAT_000079,2026-04-14,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.5,accuracy
CSAT_000080,2026-06-01,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.4,calibration
CSAT_000081,2026-05-24,code_review,TEAM_APAC_CODE_01,mid_market,4.4,timeliness
CSAT_000082,2026-05-26,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.5,accuracy
CSAT_000083,2026-04-16,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.1,timeliness
CSAT_000084,2026-05-01,code_review,TEAM_APAC_CODE_02,startup,4.3,tooling
CSAT_000085,2026-04-13,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.3,calibration
CSAT_000086,2026-03-30,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.6,tooling
CSAT_000087,2026-06-03,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.3,accuracy
CSAT_000088,2026-06-01,image_annotation,TEAM_APAC_IMAGE_02,mid_market,4.5,responsiveness
CSAT_000089,2026-06-06,code_review,TEAM_APAC_CODE_03,enterprise,4.1,calibration
CSAT_000090,2026-05-19,code_review,TEAM_APAC_CODE_01,mid_market,4.3,accuracy
CSAT_000091,2026-05-26,rlhf_evaluation,TEAM_APAC_RLHF_03,startup,4.5,accuracy
CSAT_000092,2026-03-30,image_annotation,TEAM_APAC_IMAGE_04,strategic,4.7,responsiveness
CSAT_000093,2026-05-09,code_review,TEAM_APAC_CODE_03,enterprise,4.3,timeliness
CSAT_000094,2026-04-24,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.3,accuracy
CSAT_000095,2026-06-09,image_annotation,TEAM_APAC_IMAGE_02,startup,4.7,accuracy
CSAT_000096,2026-03-27,code_review,TEAM_APAC_CODE_03,mid_market,4.2,handoff_quality
CSAT_000097,2026-05-07,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.3,tooling
CSAT_000098,2026-06-08,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.0,communication
CSAT_000099,2026-04-13,code_review,TEAM_APAC_CODE_03,enterprise,4.4,communication
CSAT_000100,2026-06-06,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.2,responsiveness
CSAT_000101,2026-06-11,image_annotation,TEAM_APAC_IMAGE_02,mid_market,4.7,timeliness
CSAT_000102,2026-06-14,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.2,handoff_quality
CSAT_000103,2026-05-23,code_review,TEAM_APAC_CODE_03,strategic,4.5,communication
CSAT_000104,2026-04-03,audio_evaluation,TEAM_APAC_AUDIO_03,enterprise,4.2,handoff_quality
CSAT_000105,2026-05-30,audio_evaluation,TEAM_APAC_AUDIO_02,startup,4.2,accuracy
CSAT_000106,2026-03-25,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.3,communication
CSAT_000107,2026-04-24,image_annotation,TEAM_APAC_IMAGE_03,startup,4.4,accuracy
CSAT_000108,2026-04-25,code_review,TEAM_APAC_CODE_02,strategic,4.3,accuracy
CSAT_000109,2026-06-01,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.2,calibration
CSAT_000110,2026-04-11,image_annotation,TEAM_APAC_IMAGE_01,enterprise,4.5,handoff_quality
CSAT_000111,2026-04-20,code_review,TEAM_APAC_CODE_01,enterprise,4.5,communication
CSAT_000112,2026-05-22,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.2,handoff_quality
CSAT_000113,2026-04-09,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.3,timeliness
CSAT_000114,2026-03-29,code_review,TEAM_APAC_CODE_02,startup,4.2,calibration
CSAT_000115,2026-04-07,audio_evaluation,TEAM_APAC_AUDIO_03,enterprise,4.1,timeliness
CSAT_000116,2026-03-30,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.0,timeliness
CSAT_000117,2026-04-28,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.0,timeliness
CSAT_000118,2026-06-09,code_review,TEAM_APAC_CODE_03,enterprise,4.6,handoff_quality
CSAT_000119,2026-04-24,audio_evaluation,TEAM_APAC_AUDIO_02,startup,4.1,accuracy
CSAT_000120,2026-05-25,rlhf_evaluation,TEAM_APAC_RLHF_01,startup,4.5,communication
CSAT_000121,2026-06-12,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,4.3,responsiveness
CSAT_000122,2026-04-24,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.0,timeliness
CSAT_000123,2026-04-11,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.3,accuracy
CSAT_000124,2026-04-24,rlhf_evaluation,TEAM_APAC_RLHF_03,startup,4.5,handoff_quality
CSAT_000125,2026-05-19,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,4.4,tooling
CSAT_000126,2026-05-19,code_review,TEAM_APAC_CODE_03,enterprise,4.2,timeliness
CSAT_000127,2026-04-08,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.2,accuracy
CSAT_000128,2026-05-26,image_annotation,TEAM_APAC_IMAGE_02,strategic,4.4,timeliness
CSAT_000129,2026-04-08,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.2,tooling
