quality_event_id,work_item_id,contributor_id,reviewer_id,quality_score,gold_task_pass,reviewer_override,peer_agreement_score
QE_000001,WI_012520,CONTR_00147,REV_0027,91.0,True,False,0.98
QE_000002,WI_012624,CONTR_00391,REV_0009,82.7,True,False,0.83
QE_000003,WI_002042,CONTR_00156,REV_0025,84.9,False,False,0.99
QE_000004,WI_006552,CONTR_00142,REV_0006,86.4,True,False,0.88
QE_000005,WI_000710,CONTR_00059,REV_0020,93.6,True,True,0.89
QE_000006,WI_013565,CONTR_00164,REV_0002,77.3,False,False,0.77
QE_000007,WI_001479,CONTR_00091,REV_0030,88.3,True,False,0.84
QE_000008,WI_004175,CONTR_00406,REV_0026,79.3,False,False,0.8
QE_000009,WI_005432,CONTR_00121,REV_0004,96.2,True,False,0.88
QE_000010,WI_007476,CONTR_00223,REV_0026,76.3,False,False,0.78
QE_000011,WI_009048,CONTR_00005,REV_0010,79.9,False,False,0.84
QE_000012,WI_006446,CONTR_00179,REV_0026,89.1,True,False,0.76
QE_000013,WI_004470,CONTR_00063,REV_0027,96.9,True,False,0.91
QE_000014,WI_001093,CONTR_00170,REV_0021,95.0,True,False,0.92
QE_000015,WI_009070,CONTR_00415,REV_0006,89.3,True,False,0.87
QE_000016,WI_006801,CONTR_00060,REV_0021,92.9,True,False,0.86
QE_000017,WI_011331,CONTR_00074,REV_0026,78.8,False,False,0.85
QE_000018,WI_006804,CONTR_00289,REV_0029,90.9,True,False,0.97
QE_000019,WI_000192,CONTR_00196,REV_0007,94.5,True,False,0.82
QE_000020,WI_010788,CONTR_00029,REV_0027,90.0,True,False,0.84
QE_000021,WI_012648,CONTR_00063,REV_0011,94.8,True,False,0.72
QE_000022,WI_002239,CONTR_00384,REV_0003,87.4,True,False,0.74
QE_000023,WI_002133,CONTR_00270,REV_0012,82.4,False,False,0.96
QE_000024,WI_000845,CONTR_00120,REV_0022,87.3,True,False,0.91
QE_000025,WI_011289,CONTR_00139,REV_0011,96.8,True,False,0.8
QE_000026,WI_009772,CONTR_00320,REV_0013,91.5,True,False,0.85
QE_000027,WI_004048,CONTR_00389,REV_0001,93.4,True,False,0.89
QE_000028,WI_004066,CONTR_00106,REV_0025,95.2,True,False,0.84
QE_000029,WI_004988,CONTR_00393,REV_0010,92.6,True,False,0.62
QE_000030,WI_002450,CONTR_00017,REV_0028,89.0,True,False,0.86
QE_000031,WI_013883,CONTR_00097,REV_0004,87.4,True,False,0.85
QE_000032,WI_008737,CONTR_00245,REV_0010,78.4,False,False,0.93
QE_000033,WI_000317,CONTR_00167,REV_0025,81.6,False,False,0.86
QE_000034,WI_001911,CONTR_00172,REV_0024,72.9,False,True,0.83
QE_000035,WI_013381,CONTR_00041,REV_0017,91.2,True,False,0.89
QE_000036,WI_003963,CONTR_00054,REV_0008,99.0,True,False,0.75
QE_000037,WI_002573,CONTR_00415,REV_0006,95.4,True,False,0.95
QE_000038,WI_010197,CONTR_00015,REV_0004,84.5,False,False,0.81
QE_000039,WI_005997,CONTR_00295,REV_0018,96.2,True,False,0.78
QE_000040,WI_010790,CONTR_00333,REV_0015,90.0,True,False,0.71
QE_000041,WI_010196,CONTR_00003,REV_0010,90.0,True,False,0.89
QE_000042,WI_011429,CONTR_00323,REV_0012,86.2,True,False,0.9
QE_000043,WI_003378,CONTR_00153,REV_0002,87.8,False,False,0.95
QE_000044,WI_007970,CONTR_00088,REV_0018,95.0,True,False,0.81
QE_000045,WI_004137,CONTR_00270,REV_0005,80.7,True,False,0.83
QE_000046,WI_001291,CONTR_00080,REV_0030,90.3,True,False,0.87
QE_000047,WI_011623,CONTR_00083,REV_0024,90.6,True,False,0.99
QE_000048,WI_007424,CONTR_00436,REV_0016,83.9,False,False,0.93
QE_000049,WI_001455,CONTR_00175,REV_0011,87.2,True,False,0.96
QE_000050,WI_013749,CONTR_00282,REV_0019,85.4,False,False,0.86
QE_000051,WI_010904,CONTR_00152,REV_0015,87.5,True,False,0.88
QE_000052,WI_010956,CONTR_00387,REV_0011,94.6,True,False,0.89
QE_000053,WI_011564,CONTR_00088,REV_0006,95.6,True,False,0.7
QE_000054,WI_001541,CONTR_00288,REV_0008,77.3,False,False,0.81
QE_000055,WI_006680,CONTR_00247,REV_0006,90.0,True,False,0.7
QE_000056,WI_004621,CONTR_00135,REV_0024,96.4,True,False,0.83
QE_000057,WI_012880,CONTR_00106,REV_0027,96.9,True,False,0.83
QE_000058,WI_007590,CONTR_00062,REV_0022,87.6,True,False,0.93
QE_000059,WI_001792,CONTR_00050,REV_0018,89.0,True,True,0.86
QE_000060,WI_005582,CONTR_00214,REV_0006,69.5,False,True,0.95
QE_000061,WI_013099,CONTR_00149,REV_0012,79.9,False,False,0.79
QE_000062,WI_013988,CONTR_00090,REV_0025,89.7,True,False,0.84
QE_000063,WI_002257,CONTR_00103,REV_0017,86.1,True,False,0.9
QE_000064,WI_001640,CONTR_00057,REV_0019,91.4,True,False,0.91
QE_000065,WI_007941,CONTR_00180,REV_0006,92.0,True,False,0.85
QE_000066,WI_011890,CONTR_00251,REV_0013,82.5,False,False,0.8
QE_000067,WI_010380,CONTR_00291,REV_0008,73.8,False,False,0.69
QE_000068,WI_011727,CONTR_00257,REV_0010,80.4,False,False,0.92
QE_000069,WI_008250,CONTR_00381,REV_0023,93.8,True,False,0.87
QE_000070,WI_006966,CONTR_00040,REV_0004,94.9,True,False,0.78
QE_000071,WI_005362,CONTR_00258,REV_0006,94.7,True,False,0.9
QE_000072,WI_008245,CONTR_00216,REV_0008,87.0,True,False,0.8
QE_000073,WI_010967,CONTR_00156,REV_0028,87.3,True,False,0.91
QE_000074,WI_006845,CONTR_00255,REV_0004,86.4,True,False,0.91
QE_000075,WI_007110,CONTR_00270,REV_0007,88.1,False,False,0.89
QE_000076,WI_011125,CONTR_00169,REV_0030,90.8,True,False,0.92
QE_000077,WI_008967,CONTR_00142,REV_0020,99.0,True,False,0.92
QE_000078,WI_006435,CONTR_00200,REV_0028,93.5,True,False,0.91
QE_000079,WI_013983,CONTR_00015,REV_0028,84.1,False,False,0.92
QE_000080,WI_009223,CONTR_00169,REV_0006,82.4,True,False,0.83
QE_000081,WI_007081,CONTR_00249,REV_0004,84.9,True,True,0.84
QE_000082,WI_007207,CONTR_00166,REV_0025,86.7,True,False,0.89
QE_000083,WI_006037,CONTR_00054,REV_0005,90.6,True,False,0.93
QE_000084,WI_013064,CONTR_00312,REV_0020,90.7,True,False,0.75
QE_000085,WI_007439,CONTR_00252,REV_0021,87.0,True,False,0.72
QE_000086,WI_007101,CONTR_00314,REV_0022,91.4,True,False,0.65
QE_000087,WI_006953,CONTR_00232,REV_0018,82.7,True,False,0.76
QE_000088,WI_013070,CONTR_00376,REV_0007,90.9,False,False,0.9
QE_000089,WI_005421,CONTR_00108,REV_0001,95.2,True,False,0.9
QE_000090,WI_012649,CONTR_00440,REV_0016,85.1,False,False,0.8
QE_000091,WI_003321,CONTR_00417,REV_0018,99.0,True,False,0.87
QE_000092,WI_010457,CONTR_00109,REV_0001,90.9,False,False,0.78
QE_000093,WI_003240,CONTR_00058,REV_0005,95.2,True,False,0.89
QE_000094,WI_013486,CONTR_00136,REV_0001,86.2,False,False,0.82
QE_000095,WI_004789,CONTR_00203,REV_0005,84.9,True,False,0.99
QE_000096,WI_005822,CONTR_00130,REV_0011,90.0,True,False,0.96
QE_000097,WI_011567,CONTR_00284,REV_0018,79.1,False,True,0.81
QE_000098,WI_010185,CONTR_00325,REV_0024,92.0,True,False,0.75
QE_000099,WI_006580,CONTR_00165,REV_0029,86.7,True,False,0.85
QE_000100,WI_010195,CONTR_00260,REV_0028,88.9,True,False,0.83
QE_000101,WI_008966,CONTR_00060,REV_0002,91.4,True,False,0.78
QE_000102,WI_011591,CONTR_00406,REV_0022,94.4,True,False,0.95
QE_000103,WI_003345,CONTR_00032,REV_0026,92.6,True,False,0.86
QE_000104,WI_012167,CONTR_00186,REV_0009,87.1,True,False,0.87
QE_000105,WI_001268,CONTR_00156,REV_0013,90.6,False,False,0.85
QE_000106,WI_005980,CONTR_00016,REV_0007,87.4,False,False,0.75
QE_000107,WI_001546,CONTR_00388,REV_0002,90.3,True,False,0.85
QE_000108,WI_002016,CONTR_00241,REV_0019,79.1,False,False,0.7
QE_000109,WI_005341,CONTR_00289,REV_0013,81.6,False,False,0.62
QE_000110,WI_009608,CONTR_00175,REV_0003,96.5,True,False,0.9
QE_000111,WI_013103,CONTR_00066,REV_0019,89.7,True,False,0.84
QE_000112,WI_005286,CONTR_00433,REV_0013,87.0,False,False,0.8
QE_000113,WI_004795,CONTR_00290,REV_0018,91.2,True,False,0.66
QE_000114,WI_011248,CONTR_00276,REV_0003,82.8,True,False,0.86
QE_000115,WI_007604,CONTR_00189,REV_0003,94.6,True,False,0.78
QE_000116,WI_008410,CONTR_00084,REV_0025,98.1,True,False,0.79
QE_000117,WI_005168,CONTR_00099,REV_0003,97.2,True,False,0.93
